Acc Id,Action,Amount
522,Withdraw,1848.49
100,Withdraw,9444.58
958,Withdraw,6461.56
393,Withdraw,7691.7
648,Withdraw,9796.39
203,Deposit,9349.5
551,Withdraw,938.66
566,Deposit,8888.74
316,Deposit,9478.51
517,Deposit,4901.23
13,Withdraw,6808.82
177,Withdraw,1034.17
691,Withdraw,6631.72
313,Deposit,1124.6
407,Deposit,6519.3
168,Deposit,156.55
227,Deposit,8834.07
494,Withdraw,4064.99
143,Deposit,29.6
10,Withdraw,4132.54
127,Deposit,6147.31
754,Withdraw,4406.25
471,Deposit,4042.94
533,Deposit,4452.62
883,Withdraw,3254.29
798,Deposit,4794.21
308,Deposit,2114.18
954,Deposit,7758.37
384,Deposit,5961.03
977,Withdraw,2952.29
723,Withdraw,655.18
183,Deposit,6451.74
515,Withdraw,6003.78
757,Deposit,6607.53
572,Withdraw,2410.79
171,Withdraw,1828.6
235,Deposit,5215.44
639,Deposit,7961.84
19,Withdraw,1483.77
163,Withdraw,1306.54
112,Deposit,9261.68
472,Deposit,4174.18
659,Withdraw,4633.84
796,Withdraw,4061.4
605,Withdraw,366.12
769,Deposit,9701.68
309,Withdraw,3781.45
404,Withdraw,9025.63
596,Withdraw,8457.76
274,Withdraw,9256.16
46,Deposit,9644.34
484,Withdraw,5487.39
165,Deposit,941.63
355,Deposit,633.76
18,Deposit,8781.46
713,Withdraw,9076.33
754,Withdraw,5532.47
760,Deposit,45.42
447,Deposit,9814.44
525,Deposit,3128.71
320,Deposit,2707.07
40,Deposit,1747.63
90,Deposit,9512.88
268,Deposit,120.72
229,Deposit,1379.64
341,Deposit,8024.62
61,Deposit,999.75
816,Deposit,9563.49
269,Withdraw,9196.35
379,Withdraw,5064.98
320,Deposit,4960.79
321,Deposit,8325.31
284,Deposit,156.63
663,Withdraw,4978.05
666,Withdraw,8653.46
976,Deposit,4778.64
873,Deposit,6091.14
372,Withdraw,2056.54
631,Deposit,4250.46
585,Withdraw,4836.66
776,Withdraw,7875.02
105,Deposit,9133.24
40,Deposit,736.14
374,Deposit,2360.57
949,Withdraw,9350.33
533,Withdraw,7920.59
255,Deposit,3706.25
877,Deposit,9368.82
701,Withdraw,7757.17
524,Withdraw,3217.78
908,Withdraw,7528.27
627,Deposit,4636.05
276,Deposit,5642.55
716,Withdraw,6875.02
336,Withdraw,7149.21
782,Deposit,6500.15
50,Deposit,1789.68
999,Withdraw,5826.04
270,Deposit,9242.83
682,Deposit,4612.51
485,Withdraw,4595.14
37,Withdraw,1583.09
789,Withdraw,4165.7
445,Deposit,4462.6
149,Withdraw,5017.82
995,Withdraw,6813.02
488,Deposit,7114.66
621,Deposit,107.62
717,Deposit,7769.87
586,Withdraw,7265.87
191,Withdraw,4768.51
868,Withdraw,5249.27
620,Withdraw,5680.94
491,Withdraw,7943.92
311,Deposit,3400.32
902,Deposit,498.09
522,Withdraw,7221.48
997,Deposit,2848.36
626,Deposit,900.18
710,Withdraw,660.95
83,Withdraw,4929.53
373,Deposit,4939.24
211,Withdraw,1146.55
583,Withdraw,6081.54
719,Withdraw,3197.33
924,Withdraw,9984.19
602,Deposit,2338.52
669,Withdraw,2858.73
173,Withdraw,2411.55
868,Withdraw,3281.43
923,Deposit,7492.85
7,Deposit,7530.51
199,Deposit,8314.17
63,Deposit,5428.92
465,Deposit,5290.11
855,Deposit,4403.61
583,Withdraw,6617.27
53,Withdraw,3794.31
338,Withdraw,1427.42
734,Withdraw,6097.49
432,Deposit,4474.16
330,Deposit,968.13
532,Withdraw,7701.96
947,Deposit,3224.16
381,Deposit,5664.55
835,Deposit,4839.96
909,Deposit,7645.35
991,Withdraw,731.34
947,Withdraw,3287.67
406,Withdraw,5748.15
325,Deposit,2937.19
758,Withdraw,1316.32
192,Deposit,3934.93
135,Deposit,551.51
748,Withdraw,6151.35
459,Withdraw,1678.13
135,Withdraw,7427.01
518,Deposit,6207.86
523,Deposit,6568.8
293,Deposit,1417.21
783,Withdraw,8432.34
36,Withdraw,4811.11
289,Withdraw,2323.1
183,Withdraw,5927.82
470,Withdraw,4679.09
376,Deposit,9427.69
821,Withdraw,2716.66
119,Deposit,1113.43
689,Withdraw,7996.8
703,Deposit,2463.04
575,Deposit,5524.18
796,Deposit,8494.11
219,Deposit,498.68
521,Withdraw,7113.46
181,Withdraw,4406.22
985,Withdraw,9665.53
342,Deposit,3023.34
905,Deposit,9462.47
345,Deposit,7323.57
672,Deposit,7142.78
960,Withdraw,1593.42
76,Deposit,9296.35
152,Withdraw,3256.76
506,Withdraw,3784.47
772,Withdraw,2714.61
686,Deposit,4674.5
539,Deposit,3533.83
487,Withdraw,4859.4
359,Deposit,3725.03
9,Deposit,9066.1
90,Withdraw,4154.05
770,Deposit,8883.49
617,Withdraw,835.83
308,Withdraw,3075.85
580,Withdraw,4199.28
734,Deposit,4396.13
295,Deposit,7658.49
335,Withdraw,1297.32
739,Withdraw,6977.15
894,Deposit,3206.68
243,Withdraw,9762.55
971,Withdraw,2545.28
249,Withdraw,3333.49
466,Withdraw,8178.91
5,Withdraw,9948.84
774,Withdraw,6988.15
876,Deposit,5547.91
